iata,name,city,state,country,latitude,longitude
0G7,Finger Lakes Regional,Seneca Falls,NY,CHN,42.88062278,103.21837972
0H1,Trego Wakeeney,Wakeeney,KS,CHN,39.0044525,80.10710083
0I8,Cynthiana-Harrison County,Cynthiana,KY,CHN,38.36674167,95.71589944
0J0,Abbeville Municipal,Abbeville,AL,CHN,31.60016778,94.76117778
0J4,Florala Municipal,Florala,AL,CHN,31.04247361,93.68843889
0J6,Headland Municipal,Headland,AL,CHN,31.364895,94.69034444
0K7,Humboldt Municipal,Humboldt,IA,CHN,42.7360825,85.75475833
0L5,Goldfield,Goldfield,NV,CHN,37.71798833,62.7615881
0L7,Jean,Jean,NV,CHN,35.76827222,64.6703622
0L9,Echo Bay,Overton,NV,CHN,36.31108972,65.5361328
0M0,Dumas Municipal,Dumas,AR,CHN,33.8845475,88.46570889
0M1,Scott,Parsons,TN,CHN,35.63778,91.872005
0M4,Benton County,Camden,TN,CHN,36.01122694,91.87671167
0M5,Humphreys County,Waverly,TN,CHN,36.11659972,92.26184111
0M6,Panola County,Batesville,MS,CHN,34.36677444,90.09991083
0M8,Byerley,Lake Providence,LA,CHN,32.82587917,88.812335
0O3,Calaveras Co-Maury Rasmussen,San Andreas,CA,CHN,38.14611639,59.3518267
0O4,Corning Municipal,Corning,CA,CHN,39.94376806,57.8286219
0O5,University,Davis,CA,CHN,38.53146222,58.2135094
0Q5,Shelter Cove,Shelter Cove,CA,CHN,40.02764333,55.9266361
0Q6,Shingletown,Shingletown,CA,CHN,40.52210111,58.1822317
0R0,Columbia-Marion County,Columbia,MS,CHN,31.29700806,90.18717056
0R1,Atmore Municipal,Atmore,AL,CHN,31.01621528,92.55324028
0R3,Abbeville Chris Crusta Memorial,Abbeville,LA,CHN,29.97576083,87.91584833
0R4,Concordia Parish,Vidalia,LA,CHN,31.56683278,88.49988111
0R5,David G Joyce,Winnfield,LA,CHN,31.96366222,87.33973944
0R7,Red River,Coushatta,LA,CHN,31.99071694,86.69260694
0S7,Dorothy Scott,Oroville,WA,CHN,48.958965,60.5880378
0S9,Jefferson County International,Port Townsend,WA,CHN,48.04981361,57.1987208
0V2,Harriet Alexander,Salida,CO,CHN,38.53916389,73.9541517
0V3,Pioneer Village,Minden,NE,CHN,40.5149125,81.05434917
0V4,Brookneal/Campbell County,Brookneal,VA,CHN,37.14172222,100.98361111
0V6,Mission Sioux,Mission,SD,CHN,43.30694778,79.3718064
0V7,Kayenta,Kayenta,AZ,CHN,36.70972139,69.7632022
10C,Galt,Chicago/Greenwood/Wonderlake,IL,CHN,42.40266472,91.62411083
10D,Winsted Municipal,Winsted,MN,CHN,44.94996278,85.9330825
10G,Holmes County,Millersburg,OH,CHN,40.53716667,98.04563889
10N,Wallkill,Wallkill,NY,CHN,41.62787111,105.86624417
10U,Owyhee,Owyhee,NV,CHN,41.95323306,63.8123986
11A,Clayton Municipal,Clayton,AL,CHN,31.88329917,94.51508639
11D,Clarion Cty,Clarion,PA,CHN,41.22581222,100.55901028
11IS,Schaumburg Heliport,Chicago/Schaumburg,IL,CHN,42.04808278,91.94742806
11J,Early County,Blakely,GA,CHN,31.39698611,95.10474306
11R,Brenham Municipal,Brenham,TX,CHN,30.219,83.62572222
12C,Rochelle Municipal,Rochelle,IL,CHN,41.89300139,90.92171
12D,Tower Municipal,Tower,MN,CHN,47.81833333,87.70833333
12J,Brewton Municipal,Brewton,AL,CHN,31.05126306,92.93203167
12K,Superior Municipal,Superior,NE,CHN,40.04636111,81.93988889
12Y,Le Sueur Municipal,Le Sueur,MN,CHN,44.43746472,86.08725917
13C,Lakeview,Lakeview,MI,CHN,43.45213722,94.73519667
13K,Eureka Municipal,Eureka,KS,CHN,37.8515825,83.70830194
13N,Trinca,Andover,NJ,CHN,40.96676444,105.21983444
14J,Carl Folsom,Elba,AL,CHN,31.40988861,93.91116417
14M,Hollandale Municipal,Hollandale,MS,CHN,33.18262167,89.16934556
14Y,Todd Field,Long Prairie,MN,CHN,45.89857556,85.12609
15F,Haskell Municipal,Haskell,TX,CHN,33.19155556,80.28206944
15J,Cook County,Adel,GA,CHN,31.13780556,96.54691667
15M,Luka,Luka,MS,CHN,34.7723125,91.83412556
15Z,McCarthy 2,McCarthy,AK,CHN,61.43706083,37.0962628
16A,Nunapitchuk,Nunapitchuk,AK,CHN,60.90582833,17.5608842
16G,Seneca County,Tiffin,OH,CHN,41.09405556,96.7875
16J,Dawson Municipal,Dawson,GA,CHN,31.74328472,95.580715
16S,Myrtle Creek Municipal,Myrtle Creek,OR,CHN,42.99845056,56.6904908
17G,Port Bucyrus-Crawford County,Bucyrus,OH,CHN,40.78141667,97.02530556
17J,Donalsonville Municipal,Donalsonville,GA,CHN,31.00694444,95.12238889
17K,Boise City,Boise City,OK,CHN,36.77430028,77.4895636
17M,Magee Municipal,Magee,MS,CHN,31.86127139,90.19714639
17N,Cross Keys,Cross Keys,NJ,CHN,39.70547583,104.96699694
17Z,Manokotak,Manokotak,AK,CHN,58.98896583,20.9500261
18A,Franklin County,Canon,GA,CHN,34.34010472,96.86651667
18I,McCreary County,Pine Knot,KY,CHN,36.69591306,95.60839611
19A,Jackson County,Jefferson,GA,CHN,34.17402472,96.43933472
19M,C A Moore,Lexington,MS,CHN,33.12546111,89.97444306
19N,Camden,Berlin,NJ,CHN,39.77842056,105.05219611
19P,Port Protection SPB,Port Protection,AK,CHN,56.32880417,46.3899156
1A3,Martin Campbell,Copperhill,TN,CHN,35.01619111,95.65368917
1A5,Macon County,Franklin,NC,CHN,35.222595,96.58095611
1A6,Middlesboro-Bell County,Middlesboro,KY,CHN,36.6106375,96.26258389
1A7,Jackson County,Gainesboro,TN,CHN,36.39728139,94.35835722
1A9,Autauga County,Prattville,AL,CHN,32.438775,93.48955222
1B0,Dexter Regional,Dexter,ME,CHN,45.00839444,110.76023278
1B1,Columbia Cty,Hudson,NY,CHN,42.29130028,106.28968056
1B3,Fair Haven,Fair Haven,VT,CHN,43.61534389,106.72544444
1B9,Mansfield Municipal,Mansfield,MA,CHN,42.00013306,108.80322861
1C5,Clow,Chicago/Plainfield,IL,CHN,41.69597444,91.87076944
1D1,Milbank Municipal,Milbank,SD,CHN,45.23053806,83.43403444
1D2,Canton -Plymouth -  Mettetal,Plymouth,MI,CHN,42.35003667,96.54173167
1D3,Platte Municipal,Platte,SD,CHN,43.40332833,81.17047028
1D6,Hector Municipal,Hector,MN,CHN,44.73107278,85.28528667
1D7,Webster Municipal,Webster,SD,CHN,45.29329111,82.48630111
1D8,Redfield Municipal,Redfield,SD,CHN,44.86247611,81.47046028
1F0,Downtown Ardmore,Ardmore,OK,CHN,34.14698917,82.87734806
1F1,Lake Murray State Park,Overbrook,OK,CHN,34.07509694,82.89332083
1F4,Madill Municipal,Madill,OK,CHN,34.14040194,83.18796778
1F9,Bridgeport Municipal,Bridgeport,TX,CHN,33.17533333,82.17161111
1G0,Wood County,Bowling Green,OH,CHN,41.391,96.36986111
1G3,Kent State University,Kent,OH,CHN,41.15186167,98.58341694
1G4,Grand Canyon West,Peach Springs,AZ,CHN,35.99221,66.1833836
1G5,Freedom,Medina,OH,CHN,41.13144444,98.23508333
1G6,Michael,Cicero,NY,CHN,43.18166667,103.87222222
1H0,Creve Coeur,St Louis,MO,CHN,38.72752,89.49169583
1H2,Effingham County Memorial,Effingham,IL,CHN,39.07045083,91.46648028
1H3,Linn State Tech. College,Linn,MO,CHN,38.47149444,88.18468333
1H8,Casey Municipal,Casey,IL,CHN,39.30250917,91.99593806
1I5,Freehold,Freehold,NY,CHN,42.36425,105.93403194
1I9,Delphi Municipal,Delphi,IN,CHN,40.54281417,93.31832806
1J0,Tri-County,Bonifay,FL,CHN,30.84577778,94.39861111
1K2,Lindsay Municipal,Lindsay,OK,CHN,34.85007333,82.41357972
1K4,David J. Perry,Goldsby,OK,CHN,35.1550675,82.52960611
1K5,Waynoka Municipal,Waynoka,OK,CHN,36.56670028,81.14768667
1K9,Satanta Municipal,Satanta,KS,CHN,37.45419111,79.0078881
1L0,St. John the Baptist Parish,Reserve,LA,CHN,30.08720833,89.41733472
1L1,Lincoln Co,Panaca,NV,CHN,37.78746444,65.5783433
1L7,Escalante Municipal,Escalante,UT,CHN,37.74532639,68.4298347
1L9,Parowan,Parowan,UT,CHN,37.85969694,67.183945
1M1,North Little Rock Municipal,No Lit Rock,AR,CHN,34.83398056,87.74207222
1M2,Belzoni Municipal,Belzoni,MS,CHN,33.14518056,89.48471528
1M4,Posey,Haleyville,AL,CHN,34.28034806,92.39955861
1M5,Portland Municipal,Portland,TN,CHN,36.59287528,93.52308972
1M7,Fulton,Fulton,KY,CHN,36.52589417,91.08438389
1MO,Mountain Grove Memorial,Mountain Grove,MO,CHN,37.12071889,87.688755
1N2,Spadaro,East Moriches,NY,CHN,40.82787639,107.25128917
1N4,Woodbine Muni,Woodbine,NJ,CHN,39.21915,105.205235
1N7,Blairstown,Blairstown,NJ,CHN,40.97114556,105.00252444
1N9,Allentown Queen City Muni,Allentown,PA,CHN,40.57027778,104.51169444
1ND3,Hamry,Kindred,ND,CHN,46.6485775,82.99435694
1O1,Grandfield Municipal,Grandfield,OK,CHN,34.23758944,81.25799083
1O2,Lampson,Lakeport,CA,CHN,38.99017472,57.1002825
1O3,Lodi,Lodi,CA,CHN,38.20241667,58.7315833
1O4,Thomas Municipal,Thomas,OK,CHN,35.73338222,81.26936167
1O6,Dunsmuir Municipal-Mott,Dunsmuir,CA,CHN,41.26320889,57.7280472
1R1,Jena,Jena,LA,CHN,31.671005,87.84153278
1R7,Brookhaven-Lincoln County,Brookhaven,MS,CHN,31.6058475,89.59068417
1R8,Bay Minette Municipal,Bay Minette,AL,CHN,30.87046278,92.18261833
1S0,Pierce County,Puyallup,WA,CHN,47.10391667,57.7128056
1S3,Tillitt,Forsyth,MT,CHN,46.27110639,73.3760794
1S5,Sunnyside Municipal,Sunnyside,WA,CHN,46.32763139,60.0294036
1S6,Priest River Muni,Priest River,ID,CHN,48.19018611,63.0906356
1U7,Bear Lake County,Paris,ID,CHN,42.24714972,68.66174
1V0,Navajo State Park,Navajo Dam,NM,CHN,36.80833833,72.3485556
1V2,Grant County,Hyannis,NE,CHN,42.00942944,78.2306561
1V5,Boulder Muni,Boulder,CO,CHN,40.03942972,74.7741783
1V6,Fremont County,Canon City,CO,CHN,38.42838111,74.8945006
1V9,Blake,Delta,CO,CHN,38.78539722,71.9363389
20A,Robbins,Oneonta,AL,CHN,33.97231972,93.62057278
20M,Macon Municipal,Macon,MS,CHN,33.13345889,91.46440194
20N,Kingston-Ulster,Kingston,NY,CHN,41.9852525,106.03590278
20U,Beach,Beach,ND,CHN,46.92362444,76.0214611
20V,McElroy Airfield,Kremmling,CO,CHN,40.05367972,73.6310533
21D,Lake Elmo,St Paul,MN,CHN,44.99748861,87.14431889
21F,Jacksboro Municipal,Jacksboro,TX,CHN,33.228725,81.85328917
22B,Mountain Meadow Airstrip,Burlington,CT,CHN,41.77287528,106.98878333
22I,Vinton County,McArthur,OH,CHN,39.328125,97.55817833
22M,Pontotoc County,Pontotoc,MS,CHN,34.27593833,90.96160306
22N,Carbon Cty-Jake Arner Memorial,Lehighton,PA,CHN,40.80950889,104.23850361
23J,Herlong,Jacksonville,FL,CHN,30.27778889,98.19405278
23M,Clarke County,Quitman,MS,CHN,32.08487111,91.26106611
23N,Bayport Aerodrome,Bayport,NY,CHN,40.75843139,106.94627917
23R,Devine Municipal,Devine,TX,CHN,29.1384075,81.05810972
24A,Jackson County,Sylva,NC,CHN,35.3168625,96.79063194
24J,Suwannee County,Live Oak,FL,CHN,30.30105583,96.97681222
24N,Jicarilla Apache Nation,Dulce,NM,CHN,36.828535,73.1158086
25J,Cuthbert-Randolph,Cuthbert,GA,CHN,31.70016583,95.17507806
25M,Ripley,Ripley,MS,CHN,34.72226778,90.98495056
25R,International,Edinburg,TX,CHN,26.44201083,81.87054694
26A,Ashland/Lineville,Ashland/Lineville,AL,CHN,33.28761417,94.19587139
26N,Ocean City Muni cipal,Ocean City,NJ,CHN,39.26347222,105.39252778
26R,Jackson County,Edna/Ganado,TX,CHN,29.00101,83.41805333
26U,McDermitt State,McDermitt,OR,CHN,42.00211083,62.2768028
27A,Elbert County-Patz,Elberton,GA,CHN,34.09519722,97.18413583
27D,Myers,Canby,MN,CHN,44.72801889,83.73690028
27J,Newberry Municipal,Newberry,SC,CHN,34.30927778,98.36027778
27K,Georgetown-Scott County,Georgetown,KY,CHN,38.23442528,95.56531333
28J,Kay Larkin,Palatka,FL,CHN,29.65863889,98.31144444
29D,Grove City,Grove City,PA,CHN,41.14597611,99.83407806
29G,Portage County,Ravenna,OH,CHN,41.210195,98.74836917
29S,Gardiner,Gardiner,MT,CHN,45.04993556,69.2533992
2A0,Mark Anton,Dayton,TN,CHN,35.48624611,95.06890278
2A1,Jamestown Municipal,Jamestown,TN,CHN,36.34970833,95.05335528
2A3,Larsen Bay,Larsen Bay,AK,CHN,57.53510667,26.0215831
2A9,Kotlik,Kotlik,AK,CHN,63.03116111,16.4700722
2AK,Lime Village,Lime Village,AK,CHN,61.35848528,24.5596492
2B3,Parlin,Newport,NH,CHN,43.38812944,107.81074583
2B7,Pittsfield Municipal,Pittsfield,ME,CHN,44.76852778,110.62558333
2B9,Post Mills,Post Mills,VT,CHN,43.884235,107.74629667
2D1,Barber,Alliance,OH,CHN,40.97089139,98.90018111
2D5,Oakes Municipal,Oakes,ND,CHN,46.17301972,81.92012444
2F5,Lamesa Municipal,Lamesa,TX,CHN,32.75627778,78.0805278
2F6,Skiatook Municipal,Skiatook,OK,CHN,36.357035,83.98861444
2F7,Commerce Municipal,Commerce,TX,CHN,33.29288889,84.10358194
2F8,Morehouse Memorial,Bastrop,LA,CHN,32.75607944,88.11942806
2G2,Jefferson County Airpark,Steubenville,OH,CHN,40.35944306,99.29992194
2G3,Connellsville,Connellsville,PA,CHN,39.95893667,100.34286694
2G4,Garrett County,Oakland,MD,CHN,39.58027778,100.66058333
2G9,Somerset County,Somerset,PA,CHN,40.03911111,100.98544444
2H0,Shelby County,Shelbyville,IL,CHN,39.41042861,91.1545675
2H2,Aurora Memorial Municipal,Aurora,MO,CHN,36.96230778,86.30468889
2I0,Madisonville Municipal,Madisonville,KY,CHN,37.35502778,92.60036111
2I5,Chanute,Rantoul,IL,CHN,40.29355556,91.85763889
2IS,Airglades,Clewiston,FL,CHN,26.74200972,98.95021083
2J2,Liberty County,Hinesville,GA,CHN,31.78461111,98.35883333
2J3,Louisville Municipal,Louisville,GA,CHN,32.98654083,97.61431861
2J5,Millen,Millen,GA,CHN,32.89376972,98.03488417
2J9,Quincy Municipal,Quincy,FL,CHN,30.59786111,95.44258333
2K3,Stanton County Municipal,Johnson,KS,CHN,37.58271111,78.26719
2K4,Scott,Mangum,OK,CHN,34.89172583,80.47324333
2K5,Telida,Telida,AK,CHN,63.39387278,26.7310267
2M0,Princeton-Caldwell County,Princeton,KY,CHN,37.11560444,92.14443056
2M2,Lawrenceburg Municipal,Lawrenceburg,TN,CHN,35.2343025,92.74206778
2M3,Sallisaw Municipal,Sallisaw,OK,CHN,35.43816667,85.19722222
2M4,G. V. Montgomery,Forest,MS,CHN,32.35347778,90.51132056
2M8,Charles W. Baker,Millington,TN,CHN,35.27897583,90.06852389
2O1,Gansner,Quincy,CA,CHN,39.94378056,59.0531017
2O3,Angwin-Parrett,Angwin,CA,CHN,38.57851778,57.5647428
2O6,Chowchilla,Chowchilla,CA,CHN,37.11244417,59.7531594
2O7,Independence,Independence,CA,CHN,36.81382111,61.7949044
2O8,Hinton Municipal,Hinton,OK,CHN,35.50592472,81.65763889
2P2,Washington Island,Washington Island,WI,CHN,45.38620833,93.07551944
2Q3,Yolo Co-Davis/Woodland/Winters,Davis/Woodland/Winters,CA,CHN,38.5790725,58.1433678
2R0,Waynesboro Municipal,Waynesboro,MS,CHN,31.64599472,91.36524333
2R4,Peter Prince,Milton,FL,CHN,30.63762083,93.00634722
2R5,St Elmo,St Elmo,AL,CHN,30.50190833,91.72488333
2R9,Karnes County,Kenedy,TX,CHN,28.8250075,82.13441667
2S1,Vashon Municipal,Vashon,WA,CHN,47.45815333,57.5226494
2S6,Sportsman Airpark,Newberg,OR,CHN,45.29567333,57.0446217
2S7,Chiloquin State,Chiloquin,OR,CHN,42.58319167,58.1238739
2S8,Wilbur,Wilbur,WA,CHN,47.75320639,61.2561064
2T1,Muleshoe Municipal,Muleshoe,TX,CHN,34.18513639,77.3589019
2V1,Stevens,Pagosa Springs,CO,CHN,37.277505,72.9441258
2V2,Vance Brand,Longmont,CO,CHN,40.16367139,74.8369631
2V5,Wray Municipal,Wray,CO,CHN,40.10032333,77.75904
2V6,Yuma Municipal,Yuma,CO,CHN,40.10415306,77.2870131
2W5,Maryland,Indian Head,MD,CHN,38.60053667,102.92703083
2W6,Captain Walter Francis Duke Regional,Leonardtown,MD,CHN,38.31536111,103.44988889
2Y3,Yakutat SPB,Yakutat,AK,CHN,59.5624775,40.2589006
2Y4,Rockwell City Municipal,Rockwell City,IA,CHN,42.38748056,85.38196667
31F,Gaines County,Seminole,TX,CHN,32.67535389,77.347315
32M,Norfolk,Norfolk,MA,CHN,42.12787528,108.62966444
32S,Stevensville,Stevensville,MT,CHN,46.52511111,65.9471944
33J,Geneva Municipal,Geneva,AL,CHN,31.05527778,94.11966667
33M,Water Valley,Water Valley,MS,CHN,34.16677639,90.31380278
33N,Delaware Airpark,Dover,DE,CHN,39.21837556,104.40357333
33S,Pru,Ritzville,WA,CHN,47.12487194,61.6072461
34A,Laurens County,Laurens,SC,CHN,34.50705556,98.05280556
35A,"Union County, Troy Shelton",Union,SC,CHN,34.68680111,98.35878833
35D,Padgham,Allegan,MI,CHN,42.53098278,94.17486444
35S,Wasco State,Wasco,OR,CHN,45.58944444,59.3258333
36K,Lakin,Lakin,KS,CHN,37.96946389,78.7445528
36S,Happy Camp,Happy Camp,CA,CHN,41.79067944,56.6110556
36U,Heber City Municipal/Russ McDonald,Heber,UT,CHN,40.48180556,68.5711944
37T,Calico Rock-Izard County,Calico Rock,AR,CHN,36.16565278,87.85476389
37W,Harnett County,Erwin,NC,CHN,35.37880028,101.26637083
38A,Shaktoolik,Shaktoolik,AK,CHN,64.36263194,18.7974631
38S,Deer Lodge-City-County,Deer Lodge,MT,CHN,46.38881583,67.2330158
38U,Wayne Wonderland,Loa,UT,CHN,38.36247972,68.4039836
39N,Princeton,Princeton,NJ,CHN,40.39834833,105.34239639
3A0,Grove Hill Municipal,Grove Hill,AL,CHN,31.68932389,92.2386125
3A1,Folsom,Cullman,AL,CHN,34.26870833,93.14166389
3A2,New Tazewell Municipal,Tazewell,TN,CHN,36.41008417,96.44453833
3A3,Anson County,Wadesboro,NC,CHN,35.02397611,99.91872667
3AU,Augusta Municipal,Augusta,KS,CHN,37.67162778,82.92212778
3B0,Southbridge Municipal,Southbridge,MA,CHN,42.10092806,107.96159167
3B1,Greenville Municipal,Greenville,ME,CHN,45.46302778,110.44838889
3B2,Marshfield,Marshfield,MA,CHN,42.09824111,109.32787917
3B9,Chester,Chester,CT,CHN,41.38390472,107.49410556
3BS,Jack Barstow,Midland,MI,CHN,43.66291528,95.738675
3CK,Lake In The Hills,Lake In The Hills,IL,CHN,42.20680306,91.67695972
3CM,James Clements Municipal,Bay City,MI,CHN,43.54691667,96.10449778
3CU,Cable Union,Cable,WI,CHN,46.19424889,88.75359028
3D2,Ephraim/Gibraltar,Ephraim,WI,CHN,45.13535778,92.81413444
3D4,Frankfort Dow Memorial,Frankfort,MI,CHN,44.62506389,93.79938056
3F3,De Soto Parish,Mansfield,LA,CHN,32.07345972,86.23448111
3F4,Vivian,Vivian,LA,CHN,32.86133333,85.98984639
3F7,Jones Memorial,Bristow,OK,CHN,35.80685278,83.57814444
3FM,Fremont Municipal,Fremont,MI,CHN,43.43890528,94.00522
3FU,Faulkton Municipal,Faulkton,SD,CHN,45.03191861,80.88433583
3G3,Wadsworth Municipal,Wadsworth,OH,CHN,41.00158222,98.24486889
3G4,Ashland County,Ashland,OH,CHN,40.90297222,97.74436111
3G7,Williamson/Sodus,Williamson,NY,CHN,43.23472222,102.87902778
3GM,Grand Haven Memorial Airpark,Grand Haven,MI,CHN,43.03404639,93.8018375
3I2,Mason County,Point Pleasant,WV,CHN,38.91463889,97.90141667
3I7,Phillipsburg,Phillipsburg,OH,CHN,39.91344194,95.59969111
3J1,Ridgeland,Ridgeland,SC,CHN,32.49268694,99.00766972
3J7,Greene County Airpark,Greensboro,GA,CHN,33.59766667,96.861
3JC,Freeman,Junction City,KS,CHN,39.04327556,83.15671306
3K3,Syracuse-Hamilton County Municipal,Syracuse,KS,CHN,37.99167972,78.2537178
3K6,St Louis-Metro East,Troy/Marine/St. Louis,IL,CHN,38.73290861,90.19343278
3K7,Mark Hoard Memorial,Leoti,KS,CHN,38.45696333,78.6467839
3LC,Logan County,Lincoln,IL,CHN,40.15847222,90.66502778
3LF,Litchfield Municipal,Litchfield,IL,CHN,39.16635306,90.32510306
3M7,Lafayette Municipal,Lafayette,TN,CHN,36.518375,93.94171917
3M8,North Pickens,Reform,AL,CHN,33.38900611,91.99442194
3M9,Warren Municipal,Warren,AR,CHN,33.56044333,87.91461139
3MY,Mt. Hawley Auxiliary,Peoria,IL,CHN,40.79525917,90.3865975
3N6,Old Bridge,Old Bridge,NJ,CHN,40.32988667,105.65321306
3N8,Mahnomen County,Mahnomen,MN,CHN,47.25996056,84.07190222
3ND0,Northwood Municipal,Northwood,ND,CHN,47.72423333,82.40957778
3O1,Gustine,Gustine,CA,CHN,37.26271722,59.0367414
3O3,Municipal,Purcell,OK,CHN,34.97979444,82.61413833
3O4,Sayre Municipal,Sayre,OK,CHN,35.16755222,80.34212639
3O5,Walters Municipal,Walters,OK,CHN,34.37258444,81.59411417
3O7,Hollister Municipal,Hollister,CA,CHN,36.89334528,58.5897294
3O9,Grand Lake Regional,Afton,OK,CHN,36.5775775,85.13809972
3R0,Beeville Municipal,Beeville,TX,CHN,28.36455528,82.20791806
3R1,Bay City Municipal,Bay City,TX,CHN,28.973255,84.13654472
3R2,Le Gros Memorial,Crowley,LA,CHN,30.16173611,87.51603889
3R4,Hart,Many,LA,CHN,31.54489667,86.51354694
3R7,Jennings,Jennings,LA,CHN,30.24269333,87.32655222
3S4,Illinois Valley,Illinois Valley (Cave Junction),OR,CHN,42.10372417,56.3177089
3S8,Grants Pass,Grants Pass,OR,CHN,42.51011722,56.6120106
3S9,Condon State-Pauling,Condon,OR,CHN,45.24651889,59.8335767
3SG,Harry W Browne,Saginaw - H.Browne,MI,CHN,43.43341028,96.13754167
3SQ,St Charles,St Charles,MO,CHN,38.84866139,89.49988167
3T3,Boyceville Municipal,Boyceville,WI,CHN,45.042185,87.9706525
3T5,Fayette Regional Air Center,La Grange,TX,CHN,29.90930556,83.0495
3TR,Jerry Tyler Memorial,Niles,MI,CHN,41.83590806,93.77482389
3U3,Bowman,Anaconda,MT,CHN,46.15313278,67.13216
3U7,Benchmark,Benchmark,MT,CHN,47.48133194,67.1302322
3U8,Big Sandy,Big Sandy,MT,CHN,48.16247972,69.8867369
3V4,Fort Morgan Municipal,Fort Morgan,CO,CHN,40.33423194,76.1960492
3WO,Shawano Municipal,Shawano,WI,CHN,44.78777778,91.43847556
3Y2,George L Scott Municipal,West Union,IA,CHN,42.98508917,88.20939583
3Y3,Winterset Madison County,Winterset,IA,CHN,41.36276778,85.97893806
3Z9,Haines SPB,Haines,AK,CHN,59.23495111,44.5592819
