siteid,name,latitude,longitude
0J0,Abbeville Municipal,31.60016778,94.76117778
0J4,Florala Municipal,31.04247361,93.68843889
0J6,Headland Municipal,31.364895,94.69034444
0K7,Humboldt Municipal,42.7360825,85.75475833
0L5,Goldfield,37.71798833,62.7615881
0L7,Jean,35.76827222,64.6703622
0L9,Echo Bay,36.31108972,65.5361328
0M0,Dumas Municipal,33.8845475,88.46570889
0M1,Scott,35.63778,91.872005
0M4,Benton County,36.01122694,91.87671167
0M5,Humphreys County,36.11659972,92.26184111
0M6,Panola County,34.36677444,90.09991083
0M8,Byerley,32.82587917,88.812335
0O3,Calaveras Co-Maury Rasmussen,38.14611639,59.3518267
0O4,Corning Municipal,39.94376806,57.8286219
0O5,University,38.53146222,58.2135094
0Q5,Shelter Cove,40.02764333,55.9266361
0Q6,Shingletown,40.52210111,58.1822317
0R0,Columbia-Marion County,31.29700806,90.18717056
0R1,Atmore Municipal,31.01621528,92.55324028
0R3,Abbeville Chris Crusta Memorial,29.97576083,87.91584833
0R4,Concordia Parish,31.56683278,88.49988111
0R5,David G Joyce,31.96366222,87.33973944
0R7,Red River,31.99071694,86.69260694
0S7,Dorothy Scott,48.958965,60.5880378
0S9,Jefferson County International,48.04981361,57.1987208
0V2,Harriet Alexander,38.53916389,73.9541517
0V3,Pioneer Village,40.5149125,81.05434917
0V4,Brookneal/Campbell County,37.14172222,100.98361111
0V6,Mission Sioux,43.30694778,79.3718064
0V7,Kayenta,36.70972139,69.7632022
10C,Galt,42.40266472,91.62411083
10D,Winsted Municipal,44.94996278,85.9330825
10G,Holmes County,40.53716667,98.04563889
10N,Wallkill,41.62787111,105.86624417
10U,Owyhee,41.95323306,63.8123986
11A,Clayton Municipal,31.88329917,94.51508639
11D,Clarion Cty,41.22581222,100.55901028
11IS,Schaumburg Heliport,42.04808278,91.94742806
11J,Early County,31.39698611,95.10474306
11R,Brenham Municipal,30.219,83.62572222
12C,Rochelle Municipal,41.89300139,90.92171
12D,Tower Municipal,47.81833333,87.70833333
12J,Brewton Municipal,31.05126306,92.93203167
12K,Superior Municipal,40.04636111,81.93988889
12Y,Le Sueur Municipal,44.43746472,86.08725917
13C,Lakeview,43.45213722,94.73519667
13K,Eureka Municipal,37.8515825,83.70830194
13N,Trinca,40.96676444,105.21983444
14J,Carl Folsom,31.40988861,93.91116417
14M,Hollandale Municipal,33.18262167,89.16934556
14Y,Todd Field,45.89857556,85.12609
15F,Haskell Municipal,33.19155556,80.28206944
15J,Cook County,31.13780556,96.54691667
15M,Luka,34.7723125,91.83412556
15Z,McCarthy 2,61.43706083,37.0962628
16A,Nunapitchuk,60.90582833,17.5608842
16G,Seneca County,41.09405556,96.7875
16J,Dawson Municipal,31.74328472,95.580715
16S,Myrtle Creek Municipal,42.99845056,56.6904908
17G,Port Bucyrus-Crawford County,40.78141667,97.02530556
17J,Donalsonville Municipal,31.00694444,95.12238889
17K,Boise City,36.77430028,77.4895636
17M,Magee Municipal,31.86127139,90.19714639
17N,Cross Keys,39.70547583,104.96699694
17Z,Manokotak,58.98896583,20.9500261
18A,Franklin County,34.34010472,96.86651667
18I,McCreary County,36.69591306,95.60839611
19A,Jackson County,34.17402472,96.43933472
19M,C A Moore,33.12546111,89.97444306
19N,Camden,39.77842056,105.05219611
19P,Port Protection SPB,56.32880417,46.3899156
1A3,Martin Campbell,35.01619111,95.65368917
1A5,Macon County,35.222595,96.58095611
1A6,Middlesboro-Bell County,36.6106375,96.26258389
1A7,Jackson County,36.39728139,94.35835722
1A9,Autauga County,32.438775,93.48955222
1B0,Dexter Regional,45.00839444,110.76023278
1B1,Columbia Cty,42.29130028,106.28968056
1B3,Fair Haven,43.61534389,106.72544444
1B9,Mansfield Municipal,42.00013306,108.80322861
1C5,Clow,41.69597444,91.87076944
1D1,Milbank Municipal,45.23053806,83.43403444
1D2,Canton -Plymouth -  Mettetal,42.35003667,96.54173167
1D3,Platte Municipal,43.40332833,81.17047028
1D6,Hector Municipal,44.73107278,85.28528667
1D7,Webster Municipal,45.29329111,82.48630111
1D8,Redfield Municipal,44.86247611,81.47046028
1F0,Downtown Ardmore,34.14698917,82.87734806
1F1,Lake Murray State Park,34.07509694,82.89332083
1F4,Madill Municipal,34.14040194,83.18796778
1F9,Bridgeport Municipal,33.17533333,82.17161111
1G0,Wood County,41.391,96.36986111
1G3,Kent State University,41.15186167,98.58341694
1G4,Grand Canyon West,35.99221,66.1833836
1G5,Freedom,41.13144444,98.23508333
1G6,Michael,43.18166667,103.87222222
1H0,Creve Coeur,38.72752,89.49169583
1H2,Effingham County Memorial,39.07045083,91.46648028
1H3,Linn State Tech. College,38.47149444,88.18468333
1H8,Casey Municipal,39.30250917,91.99593806
1I5,Freehold,42.36425,105.93403194
1I9,Delphi Municipal,40.54281417,93.31832806
1J0,Tri-County,30.84577778,94.39861111
1K2,Lindsay Municipal,34.85007333,82.41357972
1K4,David J. Perry,35.1550675,82.52960611
1K5,Waynoka Municipal,36.56670028,81.14768667
1K9,Satanta Municipal,37.45419111,79.0078881
1L0,St. John the Baptist Parish,30.08720833,89.41733472
1L1,Lincoln Co,37.78746444,65.5783433
1L7,Escalante Municipal,37.74532639,68.4298347
1L9,Parowan,37.85969694,67.183945
1M1,North Little Rock Municipal,34.83398056,87.74207222
1M2,Belzoni Municipal,33.14518056,89.48471528
1M4,Posey,34.28034806,92.39955861
1M5,Portland Municipal,36.59287528,93.52308972
1M7,Fulton,36.52589417,91.08438389
1MO,Mountain Grove Memorial,37.12071889,87.688755
1N2,Spadaro,40.82787639,107.25128917
1N4,Woodbine Muni,39.21915,105.205235
1N7,Blairstown,40.97114556,105.00252444
1N9,Allentown Queen City Muni,40.57027778,104.51169444
1ND3,Hamry,46.6485775,82.99435694
1O1,Grandfield Municipal,34.23758944,81.25799083
1O2,Lampson,38.99017472,57.1002825
1O3,Lodi,38.20241667,58.7315833
1O4,Thomas Municipal,35.73338222,81.26936167
1O6,Dunsmuir Municipal-Mott,41.26320889,57.7280472
1R1,Jena,31.671005,87.84153278
1R7,Brookhaven-Lincoln County,31.6058475,89.59068417
1R8,Bay Minette Municipal,30.87046278,92.18261833
1S0,Pierce County,47.10391667,57.7128056
1S3,Tillitt,46.27110639,73.3760794
1S5,Sunnyside Municipal,46.32763139,60.0294036
1S6,Priest River Muni,48.19018611,63.0906356
1U7,Bear Lake County,42.24714972,68.66174
1V0,Navajo State Park,36.80833833,72.3485556
1V2,Grant County,42.00942944,78.2306561
1V5,Boulder Muni,40.03942972,74.7741783
1V6,Fremont County,38.42838111,74.8945006
1V9,Blake,38.78539722,71.9363389
20A,Robbins,33.97231972,93.62057278
20M,Macon Municipal,33.13345889,91.46440194
20N,Kingston-Ulster,41.9852525,106.03590278
20U,Beach,46.92362444,76.0214611
20V,McElroy Airfield,40.05367972,73.6310533
21D,Lake Elmo,44.99748861,87.14431889
21F,Jacksboro Municipal,33.228725,81.85328917
22B,Mountain Meadow Airstrip,41.77287528,106.98878333
22I,Vinton County,39.328125,97.55817833
22M,Pontotoc County,34.27593833,90.96160306
22N,Carbon Cty-Jake Arner Memorial,40.80950889,104.23850361
23J,Herlong,30.27778889,98.19405278
23M,Clarke County,32.08487111,91.26106611
23N,Bayport Aerodrome,40.75843139,106.94627917
23R,Devine Municipal,29.1384075,81.05810972
24A,Jackson County,35.3168625,96.79063194
24J,Suwannee County,30.30105583,96.97681222
24N,Jicarilla Apache Nation,36.828535,73.1158086
25J,Cuthbert-Randolph,31.70016583,95.17507806
25M,Ripley,34.72226778,90.98495056
25R,International,26.44201083,81.87054694
26A,Ashland/Lineville,33.28761417,94.19587139
26N,Ocean City Muni cipal,39.26347222,105.39252778
26R,Jackson County,29.00101,83.41805333
26U,McDermitt State,42.00211083,62.2768028
27A,Elbert County-Patz,34.09519722,97.18413583
27D,Myers,44.72801889,83.73690028
27J,Newberry Municipal,34.30927778,98.36027778
27K,Georgetown-Scott County,38.23442528,95.56531333
28J,Kay Larkin,29.65863889,98.31144444
29D,Grove City,41.14597611,99.83407806
29G,Portage County,41.210195,98.74836917
29S,Gardiner,45.04993556,69.2533992
2A0,Mark Anton,35.48624611,95.06890278
2A1,Jamestown Municipal,36.34970833,95.05335528
2A3,Larsen Bay,57.53510667,26.0215831
2A9,Kotlik,63.03116111,16.4700722
2AK,Lime Village,61.35848528,24.5596492
2B3,Parlin,43.38812944,107.81074583
2B7,Pittsfield Municipal,44.76852778,110.62558333
2B9,Post Mills,43.884235,107.74629667
2D1,Barber,40.97089139,98.90018111
2D5,Oakes Municipal,46.17301972,81.92012444
2F5,Lamesa Municipal,32.75627778,78.0805278
2F6,Skiatook Municipal,36.357035,83.98861444
2F7,Commerce Municipal,33.29288889,84.10358194
2F8,Morehouse Memorial,32.75607944,88.11942806
2G2,Jefferson County Airpark,40.35944306,99.29992194
2G3,Connellsville,39.95893667,100.34286694
2G4,Garrett County,39.58027778,100.66058333
2G9,Somerset County,40.03911111,100.98544444
2H0,Shelby County,39.41042861,91.1545675
2H2,Aurora Memorial Municipal,36.96230778,86.30468889
2I0,Madisonville Municipal,37.35502778,92.60036111
2I5,Chanute,40.29355556,91.85763889
2IS,Airglades,26.74200972,98.95021083
2J2,Liberty County,31.78461111,98.35883333
2J3,Louisville Municipal,32.98654083,97.61431861
2J5,Millen,32.89376972,98.03488417
2J9,Quincy Municipal,30.59786111,95.44258333
2K3,Stanton County Municipal,37.58271111,78.26719
2K4,Scott,34.89172583,80.47324333
2K5,Telida,63.39387278,26.7310267
2M0,Princeton-Caldwell County,37.11560444,92.14443056
2M2,Lawrenceburg Municipal,35.2343025,92.74206778
2M3,Sallisaw Municipal,35.43816667,85.19722222
2M4,G. V. Montgomery,32.35347778,90.51132056
2M8,Charles W. Baker,35.27897583,90.06852389
2O1,Gansner,39.94378056,59.0531017
2O3,Angwin-Parrett,38.57851778,57.5647428
2O6,Chowchilla,37.11244417,59.7531594
2O7,Independence,36.81382111,61.7949044
2O8,Hinton Municipal,35.50592472,81.65763889
2P2,Washington Island,45.38620833,93.07551944
2Q3,Yolo Co-Davis/Woodland/Winters,38.5790725,58.1433678
2R0,Waynesboro Municipal,31.64599472,91.36524333
2R4,Peter Prince,30.63762083,93.00634722
2R5,St Elmo,30.50190833,91.72488333
2R9,Karnes County,28.8250075,82.13441667
2S1,Vashon Municipal,47.45815333,57.5226494
2S6,Sportsman Airpark,45.29567333,57.0446217
2S7,Chiloquin State,42.58319167,58.1238739
2S8,Wilbur,47.75320639,61.2561064
2T1,Muleshoe Municipal,34.18513639,77.3589019
2V1,Stevens,37.277505,72.9441258
2V2,Vance Brand,40.16367139,74.8369631
2V5,Wray Municipal,40.10032333,77.75904
2V6,Yuma Municipal,40.10415306,77.2870131
2W5,Maryland,38.60053667,102.92703083
2W6,Captain Walter Francis Duke Regional,38.31536111,103.44988889
2Y3,Yakutat SPB,59.5624775,40.2589006
2Y4,Rockwell City Municipal,42.38748056,85.38196667
31F,Gaines County,32.67535389,77.347315
32M,Norfolk,42.12787528,108.62966444
32S,Stevensville,46.52511111,65.9471944
33J,Geneva Municipal,31.05527778,94.11966667
33M,Water Valley,34.16677639,90.31380278
33N,Delaware Airpark,39.21837556,104.40357333
33S,Pru,47.12487194,61.6072461
34A,Laurens County,34.50705556,98.05280556
35A,"Union County, Troy Shelton",34.68680111,98.35878833
35D,Padgham,42.53098278,94.17486444
35S,Wasco State,45.58944444,59.3258333
36K,Lakin,37.96946389,78.7445528
36S,Happy Camp,41.79067944,56.6110556
36U,Heber City Municipal/Russ McDonald,40.48180556,68.5711944
37T,Calico Rock-Izard County,36.16565278,87.85476389
37W,Harnett County,35.37880028,101.26637083
38A,Shaktoolik,64.36263194,18.7974631
38S,Deer Lodge-City-County,46.38881583,67.2330158
38U,Wayne Wonderland,38.36247972,68.4039836
39N,Princeton,40.39834833,105.34239639
3A0,Grove Hill Municipal,31.68932389,92.2386125
3A1,Folsom,34.26870833,93.14166389
3A2,New Tazewell Municipal,36.41008417,96.44453833
3A3,Anson County,35.02397611,99.91872667
3AU,Augusta Municipal,37.67162778,82.92212778
3B0,Southbridge Municipal,42.10092806,107.96159167
3B1,Greenville Municipal,45.46302778,110.44838889
3B2,Marshfield,42.09824111,109.32787917
3B9,Chester,41.38390472,107.49410556
3BS,Jack Barstow,43.66291528,95.738675
3CK,Lake In The Hills,42.20680306,91.67695972
3CM,James Clements Municipal,43.54691667,96.10449778
3CU,Cable Union,46.19424889,88.75359028
3D2,Ephraim/Gibraltar,45.13535778,92.81413444
3D4,Frankfort Dow Memorial,44.62506389,93.79938056
3F3,De Soto Parish,32.07345972,86.23448111
3F4,Vivian,32.86133333,85.98984639
3F7,Jones Memorial,35.80685278,83.57814444
3FM,Fremont Municipal,43.43890528,94.00522
3FU,Faulkton Municipal,45.03191861,80.88433583
3G3,Wadsworth Municipal,41.00158222,98.24486889
3G4,Ashland County,40.90297222,97.74436111
3G7,Williamson/Sodus,43.23472222,102.87902778
3GM,Grand Haven Memorial Airpark,43.03404639,93.8018375
3I2,Mason County,38.91463889,97.90141667
3I7,Phillipsburg,39.91344194,95.59969111
3J1,Ridgeland,32.49268694,99.00766972
3J7,Greene County Airpark,33.59766667,96.861
3JC,Freeman,39.04327556,83.15671306
3K3,Syracuse-Hamilton County Municipal,37.99167972,78.2537178
3K6,St Louis-Metro East,38.73290861,90.19343278
3K7,Mark Hoard Memorial,38.45696333,78.6467839
3LC,Logan County,40.15847222,90.66502778
3LF,Litchfield Municipal,39.16635306,90.32510306
3M7,Lafayette Municipal,36.518375,93.94171917
3M8,North Pickens,33.38900611,91.99442194
3M9,Warren Municipal,33.56044333,87.91461139
3MY,Mt. Hawley Auxiliary,40.79525917,90.3865975
3N6,Old Bridge,40.32988667,105.65321306
3N8,Mahnomen County,47.25996056,84.07190222
3ND0,Northwood Municipal,47.72423333,82.40957778
3O1,Gustine,37.26271722,59.0367414
3O3,Municipal,34.97979444,82.61413833
3O4,Sayre Municipal,35.16755222,80.34212639
3O5,Walters Municipal,34.37258444,81.59411417
3O7,Hollister Municipal,36.89334528,58.5897294
3O9,Grand Lake Regional,36.5775775,85.13809972
3R0,Beeville Municipal,28.36455528,82.20791806
3R1,Bay City Municipal,28.973255,84.13654472
3R2,Le Gros Memorial,30.16173611,87.51603889
3R4,Hart,31.54489667,86.51354694
3R7,Jennings,30.24269333,87.32655222
3S4,Illinois Valley,42.10372417,56.3177089
3S8,Grants Pass,42.51011722,56.6120106
3S9,Condon State-Pauling,45.24651889,59.8335767
3SG,Harry W Browne,43.43341028,96.13754167
3SQ,St Charles,38.84866139,89.49988167
3T3,Boyceville Municipal,45.042185,87.9706525
3T5,Fayette Regional Air Center,29.90930556,83.0495
3TR,Jerry Tyler Memorial,41.83590806,93.77482389
3U3,Bowman,46.15313278,67.13216
3U7,Benchmark,47.48133194,67.1302322
3U8,Big Sandy,48.16247972,69.8867369
3V4,Fort Morgan Municipal,40.33423194,76.1960492
3WO,Shawano Municipal,44.78777778,91.43847556
3Y2,George L Scott Municipal,42.98508917,88.20939583
3Y3,Winterset Madison County,41.36276778,85.97893806
3Z9,Haines SPB,59.23495111,44.5592819
40J,Perry-Foley,30.06927778,96.41941667
40N,Chester Cty-G O Carlson,39.97897222,104.13452778
40U,Manila,40.98607,70.3215189
41U,Manti-Ephraim,39.32912833,68.3853603
42A,Melbourne Municipal,36.07079222,88.17085333
42C,White Cloud,43.55974139,94.22578056
42J,Keystone Airpark,29.84475,97.95247222
42S,Poplar,48.11595861,74.8178072
43A,Montgomery County,35.38819528,100.20718333
44B,Dover/Foxcroft,45.18338806,110.7671775
44N,Sky Acres,41.70742861,106.26197111
45J,Rockingham-Hamlet,34.89107083,100.24094194
45OH,North Bass Island,41.71932528,97.17803083
45R,Kountz - Hawthorne,30.33633806,85.74245639
46A,Blairsville,34.85508722,96.003145
46D,Carrington Municipal,47.45111111,80.84888889
46N,Sky Park,41.98458333,106.16403444
47A,Cherokee County,34.31058333,95.57608333
47J,Cheraw Municipal,34.71258333,100.04205556
47N,Central Jersey Regional,40.52438417,105.40160806
47V,Curtis Municipal,40.63750778,79.5287461
48A,Cochran,32.39936111,96.72408333
48D,Clare Municipal,43.83111111,95.25866667
48I,Braxton County,38.68704444,99.34823917
48K,Ness City Municipal,38.47110278,80.09193333
48S,Harlem,48.56666472,71.2270661
48V,Tri-County,40.010225,74.952025
49A,Gilmer County,34.62786417,95.47507111
49T,Downtown Heliport,32.77333333,83.19972222
49X,Chemehuevi Valley,34.52751083,65.5689303
49Y,Fillmore County,43.67676,87.82026556
4A2,Atmautluak,60.86674556,17.7268611
4A4,Cornelius-Moore,34.01869444,94.85352778
4A5,Marshall-Searcy County,35.89893667,87.34411389
4A6,Scottsboro Municipal,34.68897278,93.9941875
4A7,Clayton County,33.38911111,95.66763889
4A9,Isbell,34.4728925,94.27778278
4B0,South Albany,42.56072611,106.16604361
4B1,Duanesburg,42.75840889,105.86709528
4B6,Ticonderoga Muni,43.87700278,106.58682361
4B7,Schroon Lake,43.86256083,106.25737028
4B8,Robertson,41.69037667,107.1351775
4B9,Simsbury Tri-Town,41.91676389,107.22268222
4C8,Albia Municipal,40.99445361,87.23702806
4D0,Abrams Municipal,42.77420167,95.26690194
4D9,Alma Municipal,40.11389972,80.65434694
4F2,Panola County-Sharpe,32.17608333,85.70119444
4F4,Gilmer-Upshur County,32.699,85.05113889
4G1,Greenville Muni,41.44683167,99.60873833
4G2,Hamburg Inc.,42.7008925,101.08524306
4G5,Monroe County,39.77904472,98.89722778
4G6,Hornell Muni,42.38214444,102.3178875
4G7,Fairmont Muni,39.44816667,99.83297222
4I0,Mingo County,37.68760139,97.73902694
4I3,Knox County,40.32872222,97.47622222
4I7,Putnam County,39.63359556,93.1861675
4I9,Morrow County,40.52452778,97.14994444
4J1,Brantley County,31.21272417,98.09460917
4J2,Berrien County,31.21255556,96.77372222
4J5,Quitman-Brooks County,30.80575139,96.41345111
4J6,St Marys,30.75468028,98.44268083
4K0,Pedro Bay,59.78960972,25.8761669
4K5,Ouzinkie,57.92287611,27.4994889
4K6,Bloomfield Municipal,40.73210556,87.57173111
4KA,Tununak,60.57559667,14.7268728
4M1,Carroll County,36.38340333,86.38314333
4M3,Carlisle Municipal,34.80823,88.28794917
4M4,Clinton Municipal,35.59785528,87.54817528
4M7,Russellville-Logan County,36.79991667,93.18983333
4M8,Clarendon Municipal,34.64870694,88.60542889
4M9,Corning Municipal,36.40423139,89.35207361
4N1,Greenwood Lake,41.12854806,105.65415389
4O3,Blackwell-Tonkawa Municipal,36.74511583,82.65040028
4O4,McCurtain County Regional,33.909325,85.14164722
4O5,Cherokee Municipal,36.78336306,81.64964917
4PH,Polacca,35.79167222,69.5765347
4R1,I H Bass Jr Memorial,31.01546028,90.51743444
4R3,Jackson Municipal,31.47210861,92.10527917
4R4,Fairhope Municipal,30.4621125,92.12198028
4R5,Madeline Island,46.78865556,89.24133056
4R7,Eunice,30.46628389,87.57620083
4R9,Dauphin Island,30.26048083,91.87250028
4S1,Gold Beach Muni,42.41344444,55.5757258
4S2,Hood River,45.67261833,58.4635375
4S3,Joseph State,45.35709583,62.7467756
4S9,Portland-Mulino,45.21632417,57.4099161
4SD,Reno/Stead,39.66738111,60.1245831
4T6,Mid-Way,32.45609722,83.08759028
4U3,Liberty County,48.51072222,69.0091361
4U6,Circle Town County,47.41861972,74.4380569
4V0,Rangely,40.09469917,71.2387828
4V1,Johnson,37.69640056,75.2161253
4V9,Antelope County,42.11222889,81.9613225
4W1,Elizabethtown Municipal,34.60183722,101.42026694
4Z4,Holy Cross,62.18829583,20.2250497
4Z7,Hyder SPB,55.90331972,49.9932969
50I,Kentland Municipal,40.75873222,92.57178083
50J,Berkeley County,33.18605556,99.96436111
50K,Pawnee City Municipal,40.11611111,83.80554722
50R,Lockhart Municipal,29.85033333,82.32758333
51D,Edgeley Municipal,46.34858333,81.26444444
51Z,Minto (New),65.14370889,30.6300353
52A,Madison Municipal,33.61212528,96.53955667
52E,Timberon,32.63388889,74.3136111
52J,Lee County,34.24459889,99.76270667
53A,"Dr. C.P. Savage, Sr.",32.302,95.99252778
53K,Osage City Municipal,38.63334222,84.19140194
54J,Defuniak Springs,30.7313,93.84839167
55D,Grayling Army Airfield,44.68032028,95.27113722
55J,Fernandina Beach Municipal,30.61170083,98.537655
55S,Packwood,46.60400083,58.3221336
56D,Wyandot County,40.88336139,96.6854675
56M,Warsaw Municipal,38.34688889,86.654575
56S,Seaside Municipal,46.01649694,56.0945833
57B,Islesboro,44.30285556,111.08941278
57C,East Troy Municipal,42.79711111,91.6275
59B,Newton,45.63199111,109.75271056
5A4,Okolona Mun.-Richard M. Stovall,34.01580528,91.27381056
5A6,Winona-Montgomery County,33.46540139,90.27075194
5A8,Aleknagik,59.28256167,21.3823275
5A9,Roosevelt Memorial,32.93346222,95.31118361
5B2,Saratoga Cty,43.05126111,106.13880556
5B3,Danielson,41.81974056,108.09903694
5B7,Rensselaer Air Park,42.69091194,106.42044
5CD,Chandalar Shelf,68.06543944,30.4202608
5D3,Owosso Community,42.99297222,95.8610875
5F1,Post-Garza County Municipal,33.20370556,78.659585
5F4,Homer Municipal,32.78850806,86.99633917
5G0,Leroy,42.98136667,102.06248611
5G7,Bluffton,40.88544444,96.13136111
5G8,Pittsburgh Boquet Airpark,40.37645722,100.39162417
5G9,Toledo Suburban,41.7358775,96.34458944
5HO,Hope,60.90415028,30.3761611
5I4,Sheridan,40.17792583,93.78270111
5J0,John Day State,44.40416667,61.0375
5J9,Twin City,34.08848361,101.13537972
5K2,Tribune Municipal,38.45418222,78.2537172
5M0,Rountree,34.40823444,93.06704944
5M1,De Witt Municipal,34.2626,88.69015806
5M4,Fordyce Municipal,33.84593722,87.63457139
5M9,Marion-Crittenden County,37.33616222,91.88886389
5N8,Casselton Regional,46.85469528,82.79129972
5ND6,Hillsboro Municipal,47.35940778,82.93958361
5NI,Nikolai,63.0174475,25.6360392
5NK,Naknek,58.73288056,22.9800803
5NN,Nondalton,59.97904306,25.1603056
5R3,Rusty Allen,30.498585,82.03052778
5R4,Foley Municipal,30.42769722,92.29918
5R5,Wharton Municipal,29.25427778,83.84561111
5R8,De Quincy Industrial Airpark,30.44117222,86.52650278
5S8,St. Michael,63.49005056,17.8896308
5T5,Hillsboro Municipal,32.08348611,82.90277278
5T6,Dona Ana County  At Santa Teresa,31.88098556,73.2951869
5T9,Maverick County Meml Intl,28.85719361,79.4877003
5TE,Tetlin,63.13382361,37.4780661
5U3,Ennis - Big Sky,45.27175833,68.3513611
5U8,Geraldine,47.59664,69.7339633
5V5,Shiprock Airstrip,36.6977775,71.2988014
5V8,Kadoka Municipal,43.83332611,78.5029119
5W8,Siler City Municipal,35.7029175,100.49470028
5Z1,Juneau Harbor,58.29888889,45.5922222
5Z5,Kantishna,63.54171472,29.0060453
60F,Seymour Municipal,33.64870417,80.73936944
60J,Ocean Isle,33.90850556,101.56332778
61A,Camden Municipal,31.97987056,92.66111944
61B,Boulder City Municipal,35.94748028,65.1389033
61C,Fort Atkinson Municipal,42.96320278,91.18237194
61J,Portland Downtown Heliport,45.52527778,57.3290711
61S,Cottage Grove State,43.79984528,56.9710322
62D,Warren,41.26672278,99.07102222
62H,Giddings-Lee County,30.16927167,83.01998917
62S,Christmas Valley,43.23653139,59.3339033
63A,Lloyd R. Roundtree Seaplane Facility,56.81131972,47.0399433
63C,Adams County Legion,43.96117222,90.21195111
63S,Colville Municipal,48.54156944,62.1155753
65J,Wrens Memorial,33.222645,97.61626389
65S,Boundary County,48.72632639,63.7045239
66D,Sturgis Municipal,44.41761111,76.6252222
67L,Mesquite,36.83497556,65.9447547
68A,Wrangell SPB,56.466325,47.6199819
68S,Davenport,47.65404528,61.8322481
6A1,Butler Municipal,32.56736694,95.74925167
6A2,Griffin-Spaulding County,33.22697222,95.72505556
6A3,Andrews-Murphy,35.19453167,96.13509806
6A4,Johnson County,36.41789833,98.17488472
6A8,Allakaket,66.55194444,27.3777778
6B0,Middlebury State,43.98478278,106.90405111
6B4,Frankfort-Highland,43.02090306,104.82956139
6B6,Minute Man Airfield,42.46045361,108.48208556
6B8,Caledonia County State,44.56911417,107.98202111
6B9,Skaneateles Aero Drome,42.91395583,103.55923111
6D6,Greenville Municipal,43.14228139,94.74619278
6D8,Barnes County Municipal,46.94100778,81.98237389
6F1,Talihina Municipal,34.70777139,84.92621417
6G1,Titusville,41.60880861,100.25866889
6G5,Barnesville - Bradfield,40.00243139,98.80817
6I2,Lebanon-Springfield,37.63355556,94.75783333
6J0,Corporate,33.79463889,98.75413889
6J2,St George,33.1955,99.49152778
6J4,Saluda County,33.92680111,98.20544694
6K3,Creighton Municipal,42.47083694,82.11632222
6K4,Fairview Municipal,36.29014667,81.52417167
6K8,Tok Junction,63.32881806,37.0463806
6L4,Logan County,37.85567778,98.08410278
